player_name,role,total_runs,strike_rate,total_balls_faced,total_wickets_taken,total_runs_conceded,total_overs_bowled,total_matches_played,matches_played_as_batter,matches_played_as_bowler,matches_won,matches_lost,player_of_match_awards,team,average
RD Berrington,Batter,2292,74.36729396,3082,15,647,762,101,101,0,54,47,4,Scotland,152.8
Sarfraz Ahmed,Batter,2289,85.63411897,2673,0,15,12,467,467,0,226,241,5,Pakistan,
KJ Coetzer,Batter,2280,80.67940552,2826,1,132,169,101,101,0,54,47,3,Scotland,2280
MM Ali,Batter,2278,94.21009098,2418,119,5303,5935,519,519,0,295,224,5,England,19.14285714
Mohammad Rizwan,Batter,2254,87.36434109,2580,0,0,0,462,462,0,223,239,1,Pakistan,
Imrul Kayes,Batter,2242,68.60465116,3268,0,0,0,345,345,0,134,211,4,Bangladesh,
DR Martyn,Batter,2239,75.38720539,2970,1,78,90,540,540,0,378,162,5,Australia,2239
M du Preez,Batter,2223,69.59924859,3194,1,22,18,471,471,0,290,181,7,South Africa,2223
M Kapp,Batter,2195,85.30897785,2573,133,3154,4729,471,471,0,290,181,8,South Africa,16.5037594
Salman Butt,Batter,2186,74.55661664,2932,0,90,72,469,469,0,227,242,5,Pakistan,
Liton Das,Batter,2178,84.32055749,2583,0,0,0,336,336,0,132,204,4,Bangladesh,
JO Holder,Batter,2144,88.19415878,2431,162,5712,6205,429,429,0,165,264,5,West Indies,13.2345679
SP Fleming,Batter,2133,70.256917,3036,0,0,0,441,441,0,229,212,5,New Zealand,
V Sibanda,Batter,2125,61.29218344,3467,4,267,276,276,276,0,66,210,2,Zimbabwe,531.25
HM Nicholls,Batter,2116,78.98469578,2679,0,0,0,437,437,0,227,210,2,New Zealand,
A Flintoff,Batter,2096,88.58833474,2366,132,2682,3784,509,509,0,291,218,9,England,15.87878788
S Luus,Batter,2080,65.28562461,3186,84,2006,2630,471,471,0,290,181,3,South Africa,24.76190476
D Ramdin,Batter,2072,78.60394537,2636,0,0,0,426,426,0,165,261,1,West Indies,
AE Jones,Batter,2071,83.50806452,2480,0,0,0,513,513,0,292,221,4,England,
CL White,Batter,2053,79.48122338,2583,11,331,318,539,539,0,377,162,3,Australia,186.6363636
Soumya Sarkar,Batter,2044,95.29137529,2145,20,545,543,336,336,0,132,204,5,Bangladesh,102.2
CS MacLeod,Batter,2015,78.40466926,2570,8,635,774,101,101,0,54,47,5,Scotland,251.875
ME Trescothick,Batter,1997,80.52419355,2480,2,149,155,518,518,0,295,223,4,England,998.5
KJ O'Brien,Batter,1990,92.51510925,2151,60,2221,2392,164,164,0,60,104,4,Ireland,33.16666667
CJ Chibhabha,Batter,1987,63.48242812,3130,30,1379,1417,275,275,0,66,209,1,Zimbabwe,66.23333333
AT Carey,Batter,1978,87.63845813,2257,0,0,0,543,543,0,381,162,2,Australia,
MS Atapattu,Batter,1978,66.82432432,2960,0,0,0,509,509,0,236,273,3,Sri Lanka,
H Klaasen,Batter,1977,115.008726,1719,0,33,30,469,469,0,289,180,7,South Africa,
RL Haynes,Batter,1966,79.11468813,2485,2,34,24,527,527,0,367,160,5,Australia,983
LMP Simmons,Batter,1958,71.43378329,2741,1,172,163,426,426,0,165,261,2,West Indies,1958
Bismah Maroof,Batter,1938,63.27130264,3063,12,498,666,459,459,0,221,238,2,Pakistan,161.5
Inzamam-ul-Haq,Batter,1916,77.19580983,2482,0,0,0,464,464,0,224,240,3,Pakistan,
E Lewis,Batter,1903,85.75935106,2219,0,0,0,429,429,0,165,264,4,West Indies,
BC Lara,Batter,1878,76.49694501,2455,0,0,0,424,424,0,164,260,1,West Indies,
AC Kerr,Batter,1854,74.96967246,2473,97,2891,3719,433,433,0,225,208,3,New Zealand,19.11340206
DJG Sammy,Batter,1853,96.20976116,1926,87,3842,4891,427,427,0,165,262,5,West Indies,21.29885057
EC Joyce,Batter,1845,69.2048012,2666,0,0,0,164,164,0,60,104,5,Ireland,
V Aravind,Batter,1843,67.23823422,2741,0,0,0,99,99,0,34,65,2,United Arab Emirates,
N Pooran,Batter,1829,95.60899111,1913,6,174,178,429,429,0,165,264,1,West Indies,304.8333333
KIC Asalanka,Batter,1810,86.60287081,2090,16,388,486,495,495,0,230,265,3,Sri Lanka,113.125
P Nissanka,Batter,1810,84.10780669,2152,0,0,0,495,495,0,230,265,2,Sri Lanka,
MG Erasmus,Batter,1810,78.42287695,2308,34,921,1286,55,55,0,26,29,5,Namibia,53.23529412
Azhar Ali,Batter,1806,72.88135593,2478,4,262,264,468,468,0,227,241,1,Pakistan,451.5
MS Wade,Batter,1792,80.50314465,2226,0,0,0,535,535,0,374,161,3,Australia,
MD Patel,Batter,1792,80.03573024,2239,0,0,0,64,64,0,30,34,6,United States of America,
A Vala,Batter,1783,68.73554356,2594,47,1320,2017,63,63,0,12,51,1,Papua New Guinea,37.93617021
M Labuschagne,Batter,1764,82.81690141,2130,6,284,254,543,543,0,381,162,2,Australia,294
HH Pandya,Batter,1762,107.7017115,1636,81,2919,3218,572,572,0,355,217,4,India,21.75308642
