player_name,total_matches_played,total_runs,Strike_Rate,player_of_match_awards
R Malhotra,561,118,63.78,0
MC Henriques,518,117,60.94,0
SL Quintyne,365,117,57.35,0
CMG Atkins,412,117,55.45,1
RD Gaikwad,580,115,72.33,0
Kainat Imtiaz,441,115,43.56,0
S Meghana,530,114,102.7,0
MA Carberry,482,114,62.98,0
DP Hyatt,328,112,59.26,0
JDF Vandersay,490,112,46.47,1
D Hazell,489,109,77.86,0
A Khaka,471,108,46.35,2
KNM Fernando,310,107,108.08,0
BA Parchment,408,107,54.04,0
A Minny,389,106,81.54,0
RK Kleinveldt,463,105,81.4,0
L Balaji,537,104,78.79,0
D Elgar,469,104,57.46,0
KV Jain,514,104,47.49,0
M Klaas,464,103,38.87,2
M Kartik,534,102,74.45,1
AM Bacher,393,102,56.35,0
Yasir Ali Chowdhury,312,101,95.28,0
Shahzaib Hasan,319,100,84.75,0
SM Benade,389,100,78.12,0
CJ Bowes,333,99,81.82,0
BMSM Kumari,497,99,40.74,0
JL Ontong,459,97,71.32,0
RA Jones,315,96,51.34,0
RS Gavaskar,330,93,56.71,0
Shoriful Islam,327,91,85.85,0
A Nehra,579,90,51.72,2
Bilawal Bhatti,449,89,115.58,0
PBB Rajapaksa,478,89,102.3,0
SSD Arachchige,324,89,66.42,0
Z James,417,89,36.78,0
Nashra Sandhu,463,89,27.55,0
SE Findlay,394,88,62.86,0
J Fraser-McGurk,488,87,147.46,0
FL Reifer,401,86,45.26,0
NE Bonner,384,85,60.71,0
SI Mahmood,509,84,84.85,2
CJ Nevin,411,83,54.97,0
C Hemraj,413,82,81.19,0
S Nitschke,416,81,96.43,1
Mohammad Wasim,461,80,91.95,0
Rabiya Shah,431,80,62.99,0
M Terblanche,389,80,58.39,0
UT Yadav,565,79,58.09,0
JP Greaves,388,79,57.66,0
S Badrinath,567,79,45.66,0
MJ Cosgrove,473,78,96.3,1
HJ Armitage,490,78,82.11,0
Sami Aslam,430,78,63.41,0
SC Taylor,412,77,105.48,0
SC Joseph,338,77,50.33,0
S Gajnabi,417,77,41.62,0
Syed Rasel,343,76,45.24,0
KW Richardson,531,75,107.14,1
KDK Vithanage,435,75,81.52,0
CA Lynn,379,75,81.52,0
MNK Fernando,376,75,70.09,0
MM Patel,579,74,64.91,2
TL Best,416,72,63.16,0
Wasim Akram,426,71,98.61,1
Haris Rauf,461,70,75.27,3
DR Mousley,495,69,78.41,0
Tilak Varma,580,68,54.4,0
Sana Javed,383,68,50.0,0
RC Irani,457,67,53.6,0
JR Philippe,341,65,71.43,0
S Molineux,484,64,83.12,1
Yasir Arafat,423,64,62.14,0
Batool Fatima,383,64,60.95,0
AR Caddick,457,64,54.24,1
PD McGlashan,375,63,118.87,0
AAP Atkinson,444,63,114.55,0
Adnan Akmal,444,62,67.39,0
CS Fraser,417,62,46.27,0
BT Foakes,373,61,78.21,1
G Sultana,561,61,36.97,0
PJ Scholfield,490,59,96.72,0
BAM Heath,490,59,96.72,0
Mohammad Naim,322,58,58.59,0
LL Tsotsobe,463,58,51.33,3
Tayyab Tahir,409,57,123.91,0
AJ Tye,501,57,118.75,0
Akram Khan,346,57,55.88,0
RK Singh,580,55,127.91,0
AB Kaur,398,55,50.46,0
Kabir Ali,518,54,93.1,0
Mohammad Hasnain,461,53,155.88,0
BCJ Cutting,463,53,79.1,0
CAK Walton,402,53,60.23,0
K Thomson,352,52,75.36,0
AK Perera,448,52,62.65,0
IR James,420,51,79.69,0
CA Pujara,517,51,37.5,0
WA Agar,341,50,116.28,0
VR Vanitha,358,50,78.12,0
MJ Bulow,409,50,67.57,0
SS Tiwary,391,49,85.96,0
Zulqarnain Haider,334,48,68.57,0
Irfan Khan,428,48,64.86,0
Tasqeen Qadeer,383,48,33.33,0
KK Nair,559,46,51.69,0
SZ Thakor,490,46,45.1,0
PP Ojha,565,46,40.35,0
AE Smith,389,45,150.0,0
TH David,483,45,80.36,0
M De Ridder,453,45,60.81,0
M Dillon,424,44,84.62,0
Al Sahariar,346,44,43.14,0
S Sreesanth,579,44,35.2,1
Haider Ali,346,42,127.27,0
CD Cumming,382,42,41.58,0
WP Saha,579,41,69.49,0
NE Farrant,395,41,64.06,0
KY Ottley,388,41,53.95,0
JL Pattinson,460,41,51.25,0
TD Smartt,365,40,61.54,0
N Mlaba,471,40,58.82,0
SJ Tsukigawa,329,39,55.71,0
Usama Mir,461,38,126.67,0
PP Chawla,546,38,63.33,0
CS Terblanche,389,38,58.46,0
CKB Kulasekara,491,38,52.05,0
TMM Newton,351,38,48.1,0
N Shangase,453,38,38.78,0
Arshdeep Singh,580,37,108.82,1
DM Kimmince,527,37,71.15,1
Hasan Mahmud,327,37,48.05,1
DNT Zoysa,457,36,65.45,1
JO Troughton,497,36,46.75,0
RWT Key,480,36,34.29,0
Zulfiqar Babar,430,35,87.5,0
LDVV Silva,340,34,44.74,0
TL Seifert,437,33,117.86,0
Ayesha Naseem,371,33,82.5,0
HM Tiffen,329,33,80.49,0
PARP Perera,448,33,54.1,0
JAH Marshall,427,33,39.29,0
J Overton,495,32,145.45,0
MK Villiers,490,32,100.0,0
MHW Papps,427,32,50.79,0
Qanita Jalil,456,32,50.0,0
C Jonker,469,31,91.18,0
JB Nero,308,31,55.36,0
Mohammad Haris,317,30,83.33,0
M Mangru,392,30,42.86,0
R Boyce,428,30,30.0,0
M van Jaarsveld,437,29,50.88,0
SA Fritz,389,28,53.85,0
SP de Alwis,340,28,52.83,0
Sadia Iqbal,463,28,50.0,0
PM Liyanagamage,380,28,33.33,0
Ehsan Adil,460,27,62.79,0
B Fernando,335,26,70.27,0
NG Smith,401,26,65.0,0
Faisal Hossain,306,26,48.15,0
MS Panesar,509,26,28.26,0
SW Tait,545,25,86.21,2
S Naik,561,25,64.1,0
HDRS Silva,468,25,54.35,0
LJ Poulton,495,25,36.23,0
N Niranjana,561,24,40.0,0
TS Sekhukhune,464,24,28.24,0
J Louw,459,23,328.57,0
LK Ebsary,416,23,95.83,0
Avesh Khan,580,23,76.67,0
Y van der Westhuizen,322,23,58.97,0
J Blackwood,315,23,53.49,0
Mohammad Salman,415,22,55.0,0
JM Cox,495,22,38.6,0
O Thomas,418,22,28.21,2
BA Langston,489,21,95.45,0
JP Behrendorff,474,21,91.3,0
AB Dinda,565,21,55.26,0
S Nisansala,482,20,90.91,1
AG Wharf,483,19,65.52,1
LR Johnson,399,19,29.23,0
Tanvir Ahmed,411,18,150.0,0
SSB Magala,419,18,72.0,2
W Sutherland,488,18,54.55,0
TCB Fernando,509,18,46.15,0
R MacDonald-Gay,490,17,121.43,0
SDNS Karunaratne,372,17,121.43,0
JA Clarkson,326,17,70.83,0
Waqar Younis,426,17,68.0,0
CP Jack,331,17,65.38,0
J Sharma,396,17,51.52,0
Saqlain Mushtaq,426,17,43.59,0
SJ Andrews,416,16,44.44,0
SK Dolawatte,464,16,28.57,0
IECM Wong,428,15,166.67,0
Zafar Gohar,437,15,100.0,0
SA Millanta,495,15,78.95,0
HM Watson,329,15,57.69,0
EMDY Munaweera,459,15,51.72,0
I Dulani,428,15,42.86,0
HD Rutherford,438,15,26.79,0
G Chapple,474,14,200.0,0
FC Jonas,428,14,24.56,0
L Cheatle,428,13,100.0,0
HHC Gunaratne,372,13,65.0,1
GM Harris,450,13,59.09,0
OEG Baartman,424,13,54.17,0
Usman Salahuddin,415,13,46.43,0
FR Davies,476,13,30.95,0
HIS Mendis,347,13,26.0,0
TS Nethula,359,12,109.09,0
MM Penfold,428,12,23.08,0
SC Kuggeleijn,415,11,183.33,0
SV Bahutule,534,11,84.62,0
Javeria Rauf,456,11,68.75,0
Saad Ali,335,11,47.83,0
MG Neser,512,11,37.93,0
GC Tonge,355,10,62.5,0
Mukesh Kumar,580,10,58.82,0
RS Vandort,372,10,58.82,0
JW Ogle-Thomas,308,10,58.82,0
W Jaffer,539,10,43.48,0
A Martin,422,10,34.48,1
TR Ambrose,461,10,29.41,0
MA Aponso,498,10,22.22,0
Zahid Mahmood,317,9,75.0,0
VB van Jaarsveld,399,9,56.25,0
Faisal Athar,327,9,23.08,0
SJ Elliott,409,8,50.0,0
KK Ahmed,560,8,47.06,0
RO Hinds,318,8,42.11,0
H Davids,343,8,32.0,0
PY Lavine,331,8,30.77,0
R Ntozakhe,464,8,26.67,0
J Glasgow,392,7,41.18,0
Naved Latif,403,7,41.18,0
