player_name,Total_Balls_Faced,Total_Runs,Runs_Per_Ball
GD Phillips,749,710,0.9479305740987984
Babar Hayat,749,539,0.719626168224299
MDN Hansika,748,357,0.4772727272727273
JF Mooney,746,610,0.8176943699731903
WD Parnell,743,574,0.7725437415881561
BMAJ Mendis,741,593,0.8002699055330634
CK Coventry,737,645,0.8751696065128901
YK Pathan,736,810,1.1005434782608696
H Deol,733,561,0.7653478854024557
JA Morkel,727,705,0.9697386519944979
J Botha,718,594,0.8272980501392758
Ghulam Shabber,716,444,0.6201117318435754
BM Duckett,713,700,0.9817671809256662
SM Sharif,705,492,0.6978723404255319
AA Obanda,704,487,0.6917613636363636
CA Henry,703,537,0.7638691322901849
SL Malinga,701,508,0.724679029957204
MAA Sanjeewani,699,395,0.5650929899856938
Fatima Sana,696,484,0.6954022988505747
Sharjeel Khan,692,787,1.1372832369942196
Abdullah Shafique,689,554,0.8040638606676342
N Chantam,689,473,0.6865021770682148
Rumana Ahmed,683,346,0.5065885797950219
RN ten Doeschate,682,594,0.8709677419354839
JM Vince,682,590,0.8651026392961877
XM Marshall,677,379,0.5598227474150664
JWM Dalrymple,677,487,0.7193500738552437
M Mupachikwa,675,376,0.557037037037037
P Vastrakar,671,579,0.8628912071535022
Mominul Haque,671,495,0.7377049180327869
Sidra Nawaz,666,325,0.487987987987988
MS Chapman,665,684,1.0285714285714285
PSP Handscomb,656,632,0.9634146341463414
Mosaddek Hossain,655,524,0.8
Agha Salman,652,637,0.9769938650306749
NR Kirton,651,483,0.7419354838709677
GS Ballance,647,454,0.7017001545595054
RD Shah,647,407,0.6290571870170015
JL Denly,645,446,0.6914728682170542
MV Waldron,639,290,0.4538341158059468
FH Allen,637,582,0.9136577708006279
RJ Peterson,636,523,0.8223270440251572
JL Jonassen,632,533,0.8433544303797469
MN van Wyk,631,425,0.6735340729001584
KM Dabengwa,631,364,0.5768621236133122
AR Patel,631,568,0.9001584786053882
Afif Hossain,631,548,0.8684627575277337
AB Barath,629,394,0.6263910969793323
Nizakat Khan,628,508,0.8089171974522293
MK Pandey,624,558,0.8942307692307693
A Ndiraya,624,428,0.6858974358974359
HC Brook,619,653,1.0549273021001615
CR Brathwaite,613,527,0.8597063621533442
AN Petersen,610,498,0.8163934426229508
LV van Beek,610,505,0.8278688524590164
KAJ Roach,610,308,0.5049180327868853
EJ Villani,606,468,0.7722772277227723
Imran Nazir,604,531,0.8791390728476821
JE Cameron,601,452,0.7520798668885191
CD Wallace,598,515,0.8612040133779264
MR Aguilleira,598,323,0.540133779264214
KO Otieno,595,250,0.42016806722689076
DW Steyn,592,365,0.6165540540540541
DA Gunawardene,591,322,0.544839255499154
DO Obuya,583,302,0.5180102915951973
Shayan Jahangir,583,497,0.8524871355060034
BJ Hodge,583,516,0.8850771869639794
MA Jones,582,385,0.6615120274914089
B Cooper,581,339,0.5834767641996558
J Gumbie,581,379,0.6523235800344234
PJ Forrest,577,368,0.6377816291161178
RMVD Gunaratne,573,401,0.699825479930192
MR Meshram,571,322,0.563922942206655
AA Alleyne,568,341,0.6003521126760564
A Mohammed,568,232,0.4084507042253521
SJ Baard,567,326,0.5749559082892416
MS Sinclair,566,367,0.6484098939929329
T Mishra,564,395,0.700354609929078
CS Baugh,563,382,0.6785079928952042
HP Tillakaratne,562,332,0.5907473309608541
MDT Kamini,556,353,0.6348920863309353
J Nkomo,553,354,0.6401446654611211
S Ismail,551,273,0.4954627949183303
CG Williams,550,427,0.7763636363636364
Karan KC,549,457,0.8324225865209471
CM McBride,548,386,0.7043795620437956
K Verreynne,546,476,0.8717948717948718
Shamima Sultana,540,304,0.562962962962963
Hannan Sarkar,537,280,0.521415270018622
SMA Priyanjan,533,420,0.7879924953095685
SV Samson,527,510,0.967741935483871
JP Inglis,525,521,0.9923809523809524
Suraj Kumar,524,392,0.7480916030534351
NS Dhaliwal,523,295,0.5640535372848948
SS Weerakkody,521,328,0.6295585412667947
I Kaia,520,332,0.6384615384615384
SA Engelbrecht,519,327,0.630057803468208
DLS van Bunge,519,293,0.5645472061657033
Simi Singh,517,406,0.7852998065764023
M Vijay,516,339,0.6569767441860465
KA Edwards,510,331,0.6490196078431373
SW Ambris,505,473,0.9366336633663367
Taufeeq Umar,504,262,0.5198412698412699
PS Punia,503,273,0.5427435387673957
ADS Fletcher,503,305,0.6063618290258449
HM Rowe,501,332,0.6626746506986028
DG Brownlie,500,361,0.722
S Lamichhane,500,440,0.88
AR White,498,301,0.6044176706827309
MW Machan,497,393,0.7907444668008048
Sadaf Shamas,496,262,0.5282258064516129
CB Wishart,496,361,0.7278225806451613
G Toka,496,268,0.5403225806451613
Pratika Rawal,496,444,0.8951612903225806
CNIM Joyce,493,228,0.46247464503042596
T Duffin,492,224,0.45528455284552843
MH Yardy,490,326,0.6653061224489796
PA de Silva,487,390,0.8008213552361396
NV Knight,483,339,0.7018633540372671
D Khanal,482,329,0.6825726141078838
S Movva,482,324,0.6721991701244814
ES Szwarczynski,482,281,0.58298755186722
A Bosch,481,355,0.738045738045738
Tushar Imran,477,250,0.5241090146750524
WG Jacks,477,468,0.9811320754716981
V Krishnamurthy,475,410,0.8631578947368421
D la Cock,475,313,0.6589473684210526
L Winfield-Hill,474,294,0.620253164556962
DT Johnston,473,361,0.7632135306553911
EL Lamb,473,396,0.8372093023255814
A Flower,472,332,0.7033898305084746
F Overdijk,471,224,0.47558386411889597
A Sharma,468,323,0.6901709401709402
I Ranaweera,468,179,0.38247863247863245
SJ Myburgh,466,347,0.7446351931330472
ME Bouchier,466,482,1.0343347639484979
LA Marsh,465,264,0.567741935483871
AR Nurse,464,454,0.978448275862069
PW Borren,463,413,0.8920086393088553
R Gunasekera,463,255,0.550755939524838
