player_name,total_runs,total_wickets_taken,player_of_match_awards,Impact_Score
AR Caddick,64,18,1,524
JP Inglis,521,0,0,521
Nain Abidi,521,0,0,521
N Mlaba,40,24,0,520
K Doriga,520,0,0,520
SSB Magala,18,15,2,518
B Shikongo,17,25,0,517
CD Wallace,515,0,0,515
AH Maqsood,12,20,1,512
FL Mackay,125,19,0,505
A Sharma,323,4,1,503
L Klusener,163,12,1,503
AR White,301,10,0,501
Q Joseph,179,16,0,499
AN Petersen,498,0,0,498
Shayan Jahangir,497,0,0,497
H Hiri,435,3,0,495
T Mishra,395,0,1,495
C Brits,292,0,2,492
MK Tiwary,287,5,1,487
AA Obanda,487,0,0,487
T de Zorzi,381,0,1,481
AG Wharf,19,18,1,479
RS Williams,477,0,0,477
K Verreynne,476,0,0,476
Tanzim Hasan Sakib,95,14,1,475
Kabir Ali,54,21,0,474
MW Machan,393,4,0,473
V Krishnamurthy,410,3,0,470
BJ Currie,9,18,1,469
Javed Omar,468,0,0,468
MA Ouma,468,0,0,468
JL Denly,446,1,0,466
PP Ojha,46,21,0,466
B Evans,121,17,0,461
CB Wishart,361,0,1,461
M Vijay,339,1,1,459
BMSM Kumari,99,18,0,459
R Rijke,238,6,1,458
S Jimmy,118,17,0,458
GS Ballance,454,0,0,454
Mohammad Hasnain,53,20,0,453
TS Chisoro,109,12,1,449
SJ Myburgh,347,0,1,447
ID Blackwell,146,15,0,446
Mudassar Bukhari,126,16,0,446
N Chaiwai,244,0,2,444
F Overdijk,224,11,0,444
Ghulam Shabber,444,0,0,444
A Capsey,283,8,0,443
A Johnson,438,0,0,438
P Khadka,252,4,1,432
A Neill,29,15,1,429
R Ntozakhe,8,21,0,428
Adnan Mufti,328,0,1,428
MN van Wyk,425,0,0,425
Ebadat Hossain,3,21,0,423
Mahedi Hasan,122,15,0,422
MR Meshram,322,0,1,422
KE Bryce,301,6,0,421
E Otieno,21,15,1,421
AK Sah,320,0,1,420
Arshdeep Singh,37,14,1,417
EN Lynch,115,15,0,415
DLS van Bunge,293,6,0,413
FC Wilson,412,0,0,412
MDK Perera,152,13,0,412
Wasim Akram,71,12,1,411
RD Shah,407,0,0,407
Ayesha Zafar,407,0,0,407
Saud Shakeel,283,1,1,403
PKD Chase,22,19,0,402
RMVD Gunaratne,401,0,0,401
K Klein,61,17,0,401
MAA Sanjeewani,395,0,0,395
NS Dhaliwal,295,0,1,395
AB Barath,394,0,0,394
Suraj Kumar,392,0,0,392
T Putthawong,31,18,0,391
JF Kloppenburg,149,7,1,389
MA Jones,385,0,0,385
CS Baugh,382,0,0,382
S Laomi,61,16,0,381
WK McCallan,101,14,0,381
J Gumbie,379,0,0,379
XM Marshall,379,0,0,379
I Wardlaw,18,18,0,378
SR Thompson,178,10,0,378
SK Patel,278,0,1,378
Asif Ali,375,0,0,375
FC Jonas,14,18,0,374
PS Punia,273,0,1,373
CR Seneviratna,133,12,0,373
EC Rainsford,31,17,0,371
A Martin,10,13,1,370
PJ Forrest,368,0,0,368
MS Sinclair,367,0,0,367
Shamsur Rahman,266,0,1,366
CD de Lange,65,15,0,365
Tanzid Hasan,364,0,0,364
M Musonda,262,0,1,362
Taufeeq Umar,262,0,1,362
DG Brownlie,361,0,0,361
I Toua,41,11,1,361
DEM Carter,200,8,0,360
R Chopra,260,0,1,360
U Bhatti,120,12,0,360
Naseem Khushi,360,0,0,360
GR Codrington,80,9,1,360
Khushdil Shah,200,3,1,360
AJ Tye,57,15,0,357
MDN Hansika,357,0,0,357
R Gunasekera,255,0,1,355
V Sukumaran,194,3,1,354
Z James,89,13,0,349
JD Campbell,248,0,1,348
RK Kleinveldt,105,12,0,345
SM Davies,244,0,1,344
PRCS Kumarihami,283,3,0,343
C de Lange,103,12,0,343
JP Behrendorff,21,16,0,341
NV Knight,339,0,0,339
B Cooper,339,0,0,339
Usama Mir,38,15,0,338
GJ Delany,217,6,0,337
O Kamchomphu,35,15,0,335
Rashid Latif,335,0,0,335
Abid Ali,234,0,1,334
JP Bray,234,0,1,334
K Birkenstock,233,5,0,333
HP Tillakaratne,332,0,0,332
HMD Rasangika,232,0,1,332
K Fraser,152,9,0,332
A Flower,332,0,0,332
I Kaia,332,0,0,332
AJ Turner,192,2,1,332
AJ Ireland,12,16,0,332
KA Edwards,331,0,0,331
D Khanal,329,0,0,329
D Ravu,128,10,0,328
G Toka,268,3,0,328
SA Engelbrecht,327,0,0,327
A Athanaze,306,1,0,326
SJ Baard,326,0,0,326
P Marange,125,10,0,325
RML Taylor,105,11,0,325
Sidra Nawaz,325,0,0,325
N Niranjana,24,15,0,324
S Movva,324,0,0,324
MR Aguilleira,323,0,0,323
DA Gunawardene,322,0,0,322
S Bhari,22,15,0,322
SF Daley,141,9,0,321
R Mutumbami,319,0,0,319
TB Sole,38,9,1,318
T Stubbs,218,0,1,318
MC Henriques,117,10,0,317
JP Kotze,316,0,0,316
