player_name,matches_played_as_batter,total_runs,Strike_Rate
PA Jaques,522,123,72.35
CT Mutombodzi,263,122,81.88
JP Maher,540,122,65.24
Mahedi Hasan,327,122,62.56
T Maruma,266,122,54.22
B Evans,257,121,78.57
AL Hodgkinson,322,121,71.6
K Weeraratne,463,120,86.33
R Malhotra,561,118,63.78
MC Henriques,518,117,60.94
SL Quintyne,365,117,57.35
CMG Atkins,412,117,55.45
RD Gaikwad,580,115,72.33
Kainat Imtiaz,441,115,43.56
S Meghana,530,114,102.7
MA Carberry,482,114,62.98
B Muzarabani,273,114,54.03
DP Hyatt,328,112,59.26
JDF Vandersay,490,112,46.47
D Hazell,489,109,77.86
TS Chisoro,264,109,70.32
R Murray,253,108,60.0
A Maregwede,265,108,59.34
A Khaka,471,108,46.35
KNM Fernando,310,107,108.08
BA Parchment,408,107,54.04
SR Hain,283,106,106.0
A Minny,389,106,81.54
RK Kleinveldt,463,105,81.4
AA Jangoo,241,104,122.35
L Balaji,537,104,78.79
D Elgar,469,104,57.46
KV Jain,514,104,47.49
M Klaas,464,103,38.87
M Kartik,534,102,74.45
AM Bacher,393,102,56.35
Yasir Ali Chowdhury,312,101,95.28
Shahzaib Hasan,319,100,84.75
SM Benade,389,100,78.12
CJ Bowes,333,99,81.82
BMSM Kumari,497,99,40.74
JL Ontong,459,97,71.32
RA Jones,315,96,51.34
Tanzim Hasan Sakib,292,95,77.87
RS Gavaskar,330,93,56.71
Sanjida Islam,295,93,41.15
Shoriful Islam,327,91,85.85
A Nehra,579,90,51.72
Bilawal Bhatti,449,89,115.58
PBB Rajapaksa,478,89,102.3
SSD Arachchige,324,89,66.42
Z James,417,89,36.78
Nashra Sandhu,463,89,27.55
SE Findlay,394,88,62.86
J Fraser-McGurk,488,87,147.46
T Mupariwa,266,87,41.83
P Mujaji,224,86,51.81
FL Reifer,401,86,45.26
NE Bonner,384,85,60.71
SI Mahmood,509,84,84.85
CJ Nevin,411,83,54.97
C Hemraj,413,82,81.19
S Nitschke,416,81,96.43
Mohammad Wasim,461,80,91.95
Rabiya Shah,431,80,62.99
M Terblanche,389,80,58.39
UT Yadav,565,79,58.09
JP Greaves,388,79,57.66
S Badrinath,567,79,45.66
MJ Cosgrove,473,78,96.3
HJ Armitage,490,78,82.11
Sami Aslam,430,78,63.41
SC Taylor,412,77,105.48
GM Ewing,232,77,66.96
SC Joseph,338,77,50.33
S Gajnabi,417,77,41.62
Syed Rasel,343,76,45.24
KW Richardson,531,75,107.14
KDK Vithanage,435,75,81.52
CA Lynn,379,75,81.52
MNK Fernando,376,75,70.09
N Gwanzura,270,74,68.52
MM Patel,579,74,64.91
DS Weerakkody,262,73,108.96
TL Best,416,72,63.16
Wasim Akram,426,71,98.61
BJ Bennett,242,71,94.67
Shuvagata Hom,204,70,79.55
Haris Rauf,461,70,75.27
Natalia Pervaiz,253,70,66.04
DR Mousley,495,69,78.41
Tilak Varma,580,68,54.4
Sana Javed,383,68,50.0
RC Irani,457,67,53.6
GM Strydom,201,67,50.38
Sharmin Sultana,295,67,33.84
JR Philippe,341,65,71.43
S Molineux,484,64,83.12
Yasir Arafat,423,64,62.14
Batool Fatima,383,64,60.95
AR Caddick,457,64,54.24
PD McGlashan,375,63,118.87
AAP Atkinson,444,63,114.55
L Tshuma,270,63,38.65
Adnan Akmal,444,62,67.39
CS Fraser,417,62,46.27
BT Foakes,373,61,78.21
G Sultana,561,61,36.97
PJ Scholfield,490,59,96.72
BAM Heath,490,59,96.72
MJ Hay,216,59,81.94
Shaila Sharmin,272,59,60.2
Mohammad Naim,322,58,58.59
LL Tsotsobe,463,58,51.33
Tayyab Tahir,409,57,123.91
AJ Tye,501,57,118.75
Akram Khan,346,57,55.88
Zubayr Hamza,288,56,68.29
RK Singh,580,55,127.91
AB Kaur,398,55,50.46
Kabir Ali,518,54,93.1
A Mazvishaya,270,54,44.63
Mohammad Hasnain,461,53,155.88
BCJ Cutting,463,53,79.1
CAK Walton,402,53,60.23
K Thomson,352,52,75.36
AK Perera,448,52,62.65
KE Ebrahim,238,52,54.74
IR James,420,51,79.69
CA Pujara,517,51,37.5
WA Agar,341,50,116.28
RTM Mendis,204,50,100.0
VR Vanitha,358,50,78.12
MJ Bulow,409,50,67.57
SS Tiwary,391,49,85.96
LHD Dilhara,245,49,81.67
KO Meth,210,49,52.69
TB Robinson,216,48,97.96
Zulqarnain Haider,334,48,68.57
Irfan Khan,428,48,64.86
Tasqeen Qadeer,383,48,33.33
KK Nair,559,46,51.69
SZ Thakor,490,46,45.1
PP Ojha,565,46,40.35
AE Smith,389,45,150.0
TH David,483,45,80.36
TV Mufambisi,249,45,63.38
M De Ridder,453,45,60.81
M Dillon,424,44,84.62
Al Sahariar,346,44,43.14
S Sreesanth,579,44,35.2
Haider Ali,346,42,127.27
CD Cumming,382,42,41.58
WP Saha,579,41,69.49
NE Farrant,395,41,64.06
KY Ottley,388,41,53.95
JL Pattinson,460,41,51.25
TD Smartt,365,40,61.54
N Mlaba,471,40,58.82
NB Mahwire,249,40,37.04
SJ Tsukigawa,329,39,55.71
Usama Mir,461,38,126.67
T Granger,270,38,65.52
PP Chawla,546,38,63.33
CS Terblanche,389,38,58.46
CKB Kulasekara,491,38,52.05
TMM Newton,351,38,48.1
N Shangase,453,38,38.78
Arshdeep Singh,580,37,108.82
DM Kimmince,527,37,71.15
Hasan Mahmud,327,37,48.05
DNT Zoysa,457,36,65.45
JO Troughton,497,36,46.75
RWT Key,480,36,34.29
Zulfiqar Babar,430,35,87.5
LDVV Silva,340,34,44.74
TL Seifert,437,33,117.86
Ayesha Naseem,371,33,82.5
HM Tiffen,329,33,80.49
PARP Perera,448,33,54.1
JAH Marshall,427,33,39.29
J Overton,495,32,145.45
MK Villiers,490,32,100.0
D Cleaver,251,32,86.49
MHW Papps,427,32,50.79
Qanita Jalil,456,32,50.0
AA Deshpande,231,32,46.38
C Jonker,469,31,91.18
JB Nero,308,31,55.36
EC Rainsford,261,31,30.1
Mohammad Haris,317,30,83.33
SM Warnapura,222,30,46.88
M Mangru,392,30,42.86
R Boyce,428,30,30.0
M van Jaarsveld,437,29,50.88
SA Fritz,389,28,53.85
SP de Alwis,340,28,52.83
Sadia Iqbal,463,28,50.0
PM Liyanagamage,380,28,33.33
GF Linde,238,27,87.1
Ehsan Adil,460,27,62.79
B Fernando,335,26,70.27
NG Smith,401,26,65.0
Faisal Hossain,306,26,48.15
SL Stewart,286,26,44.07
MS Panesar,509,26,28.26
SW Tait,545,25,86.21
S Naik,561,25,64.1
HDRS Silva,468,25,54.35
T Kamungozi,246,25,44.64
LJ Poulton,495,25,36.23
N Niranjana,561,24,40.0
TS Sekhukhune,464,24,28.24
J Louw,459,23,328.57
LK Ebsary,416,23,95.83
Avesh Khan,580,23,76.67
Y van der Westhuizen,322,23,58.97
J Blackwood,315,23,53.49
Shamim Hossain,292,22,57.89
Mohammad Salman,415,22,55.0
E Mbofana,270,22,39.29
JM Cox,495,22,38.6
Mosharraf Hossain,247,22,34.38
O Thomas,418,22,28.21
BP Nash,244,21,100.0
BA Langston,489,21,95.45
JP Behrendorff,474,21,91.3
EC Perry,244,21,75.0
AB Dinda,565,21,55.26
S Nisansala,482,20,90.91
JA Simpson,233,20,62.5
AG Wharf,483,19,65.52
LR Johnson,399,19,29.23
Tanvir Ahmed,411,18,150.0
SG Borthwick,292,18,112.5
TL Chivanga,273,18,85.71
