player_name,total_runs,strike_rate,total_wickets_taken,player_of_match_awards,Performance_Score,Player_Rank
SO Tikolo,705,64.26618049,28,0,1907.6618048999999,364
Shoaib Khan,843,82.24390244,2,2,1905.4390244,365
RP Arnold,1039,69.68477532,8,0,1895.8477532,366
SI Mahmood,84,84.84848485,38,2,1892.4848485,367
Simi Singh,406,78.52998066,30,1,1891.2998066,368
LJ Wright,707,84.36754177,17,0,1890.6754177,369
JM How,939,64.80331263,0,3,1887.0331262999998,370
UDU Chandana,260,66.15776081,38,2,1881.5776081,371
HASD Siriwardene,679,55.97691674,32,0,1878.7691674,372
CA Ingram,761,81.39037433,0,3,1874.9037432999999,373
Shoriful Islam,91,85.8490566,46,0,1869.490566,374
Fargana Hoque,1275,49.39945757,0,1,1868.9945757,375
Shaiman Anwar,947,81.49741824,5,0,1861.9741824,376
S Randiv,280,71.79487179,38,1,1857.9487179,377
Ali Naseer,396,99.2481203,23,0,1848.4812029999998,378
WB Rankin,78,42.62295082,67,0,1844.2295082,379
B Muzarabani,114,54.02843602,54,1,1834.2843602,380
KH Prajapati,996,73.72316802,0,1,1833.2316802,381
S Dhaniram,281,88.92405063,23,2,1830.2405063,382
SF Mire,729,77.22457627,11,1,1821.2457627,383
Diana Baig,262,68.94736842,43,0,1811.4736842,384
RV Uthappa,934,87.28971963,0,0,1806.8971963,385
NT Broom,919,78.68150685,0,1,1805.8150685,386
SIR Dunkley,789,79.45619335,1,2,1803.5619335000001,387
SA Yadav,773,102.9294274,0,0,1802.2942739999999,388
I Ranaweera,179,38.24786325,62,0,1801.4786325,389
Pargat Singh,722,77.6344086,5,2,1798.344086,390
Raqibul Hasan,1177,61.62303665,0,0,1793.2303665,391
AF Giles,286,73.33333333,38,0,1779.3333333,392
DS Smith,973,70.55837563,0,1,1778.5837563,393
RW Chakabva,1106,67.03030303,0,0,1776.3030303,394
DN Wellalage,285,75.0,27,2,1775.0,395
SSJ Brooks,842,73.2173913,0,2,1774.173913,396
PJ Hughes,826,73.88193202,0,2,1764.8193202,397
GT Main,82,92.13483146,33,1,1763.3483145999999,398
IECM Wong,15,166.6666667,4,0,1761.666667,399
SE Rutherford,497,110.4444444,3,1,1761.444444,400
KU Carty,1000,75.93014427,0,0,1759.3014427,401
Nahida Khan,1121,63.69318182,0,0,1757.9318182,402
VVS Laxman,828,72.50437828,0,2,1753.0437828,403
Mosaddek Hossain,524,80.0,16,1,1744.0,404
Sohag Gazi,182,87.92270531,24,2,1741.2270531,405
I Udana,227,96.18644068,22,1,1728.8644068,406
SM Katich,1041,68.62228082,0,0,1727.2228082000001,407
AT Nidamanuru,713,91.29321383,0,1,1725.9321383000001,408
GO Jones,715,80.97395243,0,2,1724.7395243,409
Mohammad Wasim,80,91.95402299,36,0,1719.5402299,410
KOA Powell,934,78.42149454,0,0,1718.2149454,411
Towhid Hridoy,759,85.47297297,0,1,1713.7297297,412
Kashif Daud,282,88.67924528,17,2,1708.7924528,413
Rameez Shahzad,848,75.84973166,0,1,1706.4973166,414
A Hunter,776,81.68421053,0,1,1692.8421053,415
RT Lyons,5,166.6666667,1,0,1691.666667,416
BM Duckett,700,98.17671809,0,0,1681.7671808999999,417
SV Samson,510,96.77419355,0,2,1677.7419355000002,418
BM Halliday,828,70.64846416,7,0,1674.4846416,419
AR Cusack,264,62.55924171,34,1,1669.5924171000001,420
AC Agar,322,80.5,22,1,1667.0,421
LM Jongwe,315,79.14572864,28,0,1666.4572864000002,422
STR Binny,230,91.26984127,21,1,1662.6984127,423
Chirag Suri,924,62.77173913,0,1,1651.7173913000001,424
TD Paine,861,68.88,0,1,1649.8,425
WG Jacks,468,98.11320755,5,1,1649.1320755,426
L Siaka,749,73.93879566,3,1,1648.3879566,427
Umaima Sohail,670,61.69429098,18,0,1646.9429098,428
VS Solanki,829,69.43048576,1,1,1643.3048576,429
SR Mukkamalla,711,82.86713287,0,1,1639.6713287,430
AE Smith,45,150.0,4,0,1625.0,431
TT Samaraweera,669,73.19474836,1,2,1620.9474836,432
Muhammad Usman,888,73.26732673,0,0,1620.6732673,433
CK Coventry,645,87.51696065,0,1,1620.1696065,434
ME Bouchier,482,103.4334764,0,1,1616.334764,435
Nigar Sultana,927,48.81516588,0,2,1615.1516588,436
SJ Modani,898,61.50684932,0,1,1613.0684932,437
Usama Mir,38,126.6666667,15,0,1604.666667,438
CJ Ferguson,663,83.39622642,0,1,1596.9622642,439
FH Allen,582,91.36577708,0,1,1595.6577708,440
PSP Handscomb,632,96.34146341,0,0,1595.4146341,441
J Nkomo,354,64.01446655,25,1,1594.1446655,442
CP Rizwan,901,57.27908455,1,1,1593.7908455000002,443
RM Ghosh,690,90.19607843,0,0,1591.9607843,444
Washington Sundar,315,81.60621762,23,0,1591.0621762,445
LS Greenway,732,65.82733813,0,2,1590.2733813,446
SW Billings,690,89.84375,0,0,1588.4375,447
Syed Rasel,76,45.23809524,53,0,1588.3809524,448
Mohammad Nawaz,173,78.99543379,21,2,1582.9543379000002,449
W Barresi,820,76.20817844,0,0,1582.0817843999998,450
Pratika Rawal,444,89.51612903,2,2,1579.1612903,451
T Brits,786,69.1292876,0,1,1577.292876,452
Afif Hossain,548,86.84627575,3,1,1576.4627575,453
JM Vince,590,86.51026393,1,1,1575.1026393,454
D Hazell,109,77.85714286,34,0,1567.5714286,455
H Deol,561,76.53478854,2,2,1566.3478854,456
DT Christian,273,87.22044728,21,0,1565.2044728,457
J Fraser-McGurk,87,147.4576271,0,0,1561.576271,458
Babar Hayat,539,71.96261682,0,3,1558.6261682,459
Asif Ali,375,118.29653,0,0,1557.9653,460
SHT Kandamby,827,69.03171953,2,0,1557.3171953,461
MK Pandey,558,89.42307692,0,1,1552.2307692,462
JN Mohammed,621,66.84607104,8,1,1549.4607104,463
L Klusener,163,104.4871795,12,1,1547.871795,464
M Kartik,102,74.45255474,30,1,1546.5255474,465
AJ Tye,57,118.75,15,0,1544.5,466
D Bishoo,164,61.88679245,38,0,1542.8679245,467
AA Alleyne,341,60.03521127,30,0,1541.3521127,468
Tanvir Ahmed,18,150.0,1,0,1538.0,469
Muneeba Ali,948,58.91858297,0,0,1537.1858296999999,470
AG Prince,761,67.58436945,0,1,1536.8436944999999,471
HJH Marshall,661,67.44897959,0,2,1535.4897959,472
