player_name,Total_Runs,Total_Balls_Faced,Strike_Rate,RUNS_PER_BALL
A Capsey,283,395,71.65,0.7164556962025317
PRCS Kumarihami,283,764,37.04,0.3704188481675393
Kashif Daud,282,318,88.68,0.8867924528301887
ASS Fletcher,282,434,64.98,0.6497695852534562
S Dhaniram,281,316,88.92,0.8892405063291139
S Chattergoon,281,441,63.72,0.63718820861678
ES Szwarczynski,281,482,58.3,0.58298755186722
CS Mugeri-Tiripano,280,378,74.07,0.7407407407407407
S Randiv,280,390,71.79,0.717948717948718
Hannan Sarkar,280,537,52.14,0.521415270018622
SK Patel,278,379,73.35,0.7335092348284961
MD Dai,277,367,75.48,0.7547683923705722
S Horley,276,356,77.53,0.7752808988764045
Moin Khan,274,318,86.16,0.8616352201257862
DT Christian,273,313,87.22,0.8722044728434505
PS Punia,273,503,54.27,0.5427435387673957
S Ismail,273,551,49.55,0.4954627949183303
GH Worker,272,389,69.92,0.699228791773779
Umar Amin,271,408,66.42,0.6642156862745098
MJ Henry,268,294,91.16,0.9115646258503401
G Toka,268,496,54.03,0.5403225806451613
TA Blundell,266,309,86.08,0.86084142394822
