player_name,Total_Matches_Played,Total_Matches_Lost,Players_Loss_Percentage
RD Jacobs,368,224,60.869565217391305
Raqibul Hasan,337,205,60.83086053412463
KY Ottley,388,236,60.824742268041234
JP Greaves,388,236,60.824742268041234
SL Quintyne,365,222,60.821917808219176
TD Smartt,365,222,60.821917808219176
B Cooper,365,222,60.821917808219176
Anamul Haque,342,208,60.8187134502924
Sohag Gazi,342,208,60.8187134502924
Mohammad Mithun,334,203,60.778443113772454
Mosaddek Hossain,334,203,60.778443113772454
OC McCoy,260,158,60.76923076923077
NK Crafton,135,82,60.74074074074074
Soumya Sarkar,336,204,60.714285714285715
Liton Das,336,204,60.714285714285715
Mehedi Hasan Miraz,336,204,60.714285714285715
NE Bonner,384,233,60.677083333333336
NY McLean,386,234,60.62176165803109
SACA King,386,234,60.62176165803109
Sabbir Rahman,335,203,60.59701492537314
SKW Kelly,5,3,60.0
Omid Shafi Rahman,55,33,60.0
Muhammad Farooq,55,33,60.0
H Durham,5,3,60.0
AR Berenger,60,36,60.0
S Daniel,182,103,56.59340659340659
S Dhakal,43,24,55.81395348837209
DOD Rikhi,9,5,55.55555555555556
K Mahato,40,22,55.0
RTM Mendis,204,112,54.90196078431372
D Lakshan,204,112,54.90196078431372
K Phillip,53,29,54.716981132075475
U Thimashini,158,86,54.43037974683544
SM Warnapura,222,120,54.054054054054056
SK Patel,63,34,53.96825396825397
HML Madushani,481,259,53.84615384615385
RMVD Gunaratne,489,263,53.78323108384458
H Madavi,489,263,53.78323108384458
CKB Kulasekara,491,264,53.76782077393075
M Bhanuka,478,257,53.76569037656904
PWH de Silva,478,257,53.76569037656904
PBB Rajapaksa,478,257,53.76569037656904
H Karunaratne,482,259,53.7344398340249
S Nisansala,482,259,53.7344398340249
WU Tharanga,512,275,53.7109375
AD Mathews,512,275,53.7109375
N Dickwella,512,275,53.7109375
MDKJ Perera,512,275,53.7109375
BKG Mendis,512,275,53.7109375
JJ Smit,54,29,53.7037037037037
JP Kotze,54,29,53.7037037037037
N Davin,54,29,53.7037037037037
DN Wellalage,490,263,53.673469387755105
JDF Vandersay,490,263,53.673469387755105
RP Arnold,509,273,53.63457760314342
WPUJC Vaas,509,273,53.63457760314342
TCB Fernando,509,273,53.63457760314342
MS Atapattu,509,273,53.63457760314342
PA de Silva,509,273,53.63457760314342
HP Tillakaratne,509,273,53.63457760314342
HDRS Silva,468,251,53.63247863247863
SL Malinga,511,274,53.62035225048923
WIA Fernando,511,274,53.62035225048923
BMAJ Mendis,511,274,53.62035225048923
FDM Karunaratne,511,274,53.62035225048923
I Udana,511,274,53.62035225048923
MD Shanaka,498,267,53.6144578313253
MA Aponso,498,267,53.6144578313253
SS Pathirana,498,267,53.6144578313253
MDK Perera,498,267,53.6144578313253
HDPK Dharmasena,360,193,53.611111111111114
HIS Mendis,347,186,53.60230547550432
TT Samaraweera,500,268,53.6
GWHM Perera,487,261,53.59342915811088
PRCS Kumarihami,487,261,53.59342915811088
DA Gunawardene,476,255,53.57142857142857
KNA Bandara,465,249,53.54838709677419
LD Chandimal,508,272,53.54330708661417
SMA Priyanjan,508,272,53.54330708661417
KIC Asalanka,495,265,53.535353535353536
P Nissanka,495,265,53.535353535353536
S Samarawickrama,495,265,53.535353535353536
KHRK Fernando,467,250,53.53319057815846
ST Jayasuriya,510,273,53.529411764705884
CK Kapugedera,510,273,53.529411764705884
SHT Kandamby,510,273,53.529411764705884
KC Sangakkara,510,273,53.529411764705884
MF Maharoof,510,273,53.529411764705884
TM Dilshan,510,273,53.529411764705884
DPMD Jayawardene,510,273,53.529411764705884
KDU Prabodhani,497,266,53.521126760563384
HASD Siriwardene,497,266,53.521126760563384
BMSM Kumari,497,266,53.521126760563384
MAA Sanjeewani,497,266,53.521126760563384
AC Jayangani,497,266,53.521126760563384
NND de Silva,497,266,53.521126760563384
SS Weerakkody,497,266,53.521126760563384
MADD Surangika,497,266,53.521126760563384
PM Weerakkody,497,266,53.521126760563384
MDN Hansika,497,266,53.521126760563384
I Ranaweera,497,266,53.521126760563384
ML Udawatte,499,267,53.50701402805611
J Mubarak,499,267,53.50701402805611
PHT Kaushal,486,260,53.49794238683128
LHD Dilhara,245,131,53.46938775510204
S Randiv,507,271,53.451676528599606
MD Gunathilaka,507,271,53.451676528599606
S Prasanna,507,271,53.451676528599606
DL Blake,58,31,53.44827586206897
LC Romero,58,31,53.44827586206897
Rashid Zia,58,31,53.44827586206897
Nasir Javed,58,31,53.44827586206897
CA Reid,58,31,53.44827586206897
RS Kaluwitharana,348,186,53.44827586206897
CR Seneviratna,464,248,53.44827586206897
SK Dolawatte,464,248,53.44827586206897
SJ Massiah,58,31,53.44827586206897
HMD Rasangika,464,248,53.44827586206897
RP Alexander,58,31,53.44827586206897
MR Johnson,58,31,53.44827586206897
Aijaz Ali,58,31,53.44827586206897
