player_name,Total_Wickets_Taken,Total_Runs_Conceded,Runs_Conceded_Per_Wicket
Imrul Kayes,0,0,
Salman Butt,0,90,
Liton Das,0,0,
SP Fleming,0,0,
HM Nicholls,0,0,
D Ramdin,0,0,
AE Jones,0,0,
AT Carey,0,0,
MS Atapattu,0,0,
H Klaasen,0,33,
Inzamam-ul-Haq,0,0,
E Lewis,0,0,
BC Lara,0,0,
EC Joyce,0,0,
V Aravind,0,0,
P Nissanka,0,0,
MS Wade,0,0,
MD Patel,0,0,
Yousuf Youhana,0,1,
NJ O'Brien,0,0,
HG Munsey,0,0,
MH Cross,0,0,
SJ Taylor,0,0,
KD Karthik,0,0,
N Dickwella,0,0,
Sidra Ameen,0,0,
T Bavuma,0,22,
