player_name,total_matches_played,matches_won,total_runs,player_of_match_awards,POTM_Rate
Rumana Ahmed,301,109,346,1,0.33
Shamsur Rahman,303,110,266,1,0.33
JD Campbell,303,116,248,1,0.33
Towhid Hridoy,327,127,759,1,0.31
Nasum Ahmed,327,127,156,1,0.31
Hasan Mahmud,327,127,37,1,0.31
Fargana Hoque,333,130,1275,1,0.3
Afif Hossain,329,127,548,1,0.3
Mosaddek Hossain,334,131,524,1,0.3
Murshida Khatun,333,130,429,1,0.3
Abid Ali,335,166,234,1,0.3
Khushdil Shah,346,174,200,1,0.29
SE Rutherford,358,140,497,1,0.28
NC Dodd,351,182,145,1,0.28
N Deonarine,369,144,546,1,0.27
BT Foakes,373,218,61,1,0.27
HHC Gunaratne,372,175,13,1,0.27
A Rawat,396,239,153,1,0.25
BC Lara,424,164,1878,1,0.24
SA Campbelle,420,163,1167,1,0.24
WW Hinds,424,164,1066,1,0.24
DS Smith,414,161,973,1,0.24
R Powell,425,164,915,1,0.24
JN Mohammed,425,164,621,1,0.24
CA Henry,417,162,537,1,0.24
SW Ambris,409,158,473,1,0.24
AR Nurse,425,164,454,1,0.24
Taufeeq Umar,415,205,262,1,0.24
T Stubbs,424,262,218,1,0.24
AJ Turner,413,294,192,1,0.24
RD Rickelton,424,262,188,1,0.24
L Klusener,423,262,163,1,0.24
CMG Atkins,412,239,117,1,0.24
S Nitschke,416,296,81,1,0.24
A Martin,422,163,10,1,0.24
D Ramdin,426,165,2072,1,0.23
N Pooran,429,165,1829,1,0.23
JDS Neesham,439,228,1508,1,0.23
L Ronchi,439,228,1397,1,0.23
KJ Martin,426,222,1161,1,0.23
NT Broom,443,231,919,1,0.23
A Steyn,438,270,781,1,0.23
GD Phillips,431,224,710,1,0.23
FH Allen,431,224,582,1,0.23
LR Down,433,225,486,1,0.23
HM Rowe,433,225,332,1,0.23
AM Peterson,433,225,167,1,0.23
LM Kasperek,433,225,148,1,0.23
Wasim Akram,426,209,71,1,0.23
Mohammad Rizwan,462,223,2254,1,0.22
RR Rossouw,451,277,1239,1,0.22
Aliya Riaz,463,223,1207,1,0.22
F Behardien,463,284,1074,1,0.22
T Brits,453,278,786,1,0.22
Agha Salman,461,222,637,1,0.22
Imran Nazir,453,220,531,1,0.22
HMD Rasangika,464,216,232,1,0.22
AR Caddick,457,262,64,1,0.22
DNT Zoysa,457,214,36,1,0.22
Azhar Ali,468,227,1806,1,0.21
Imran Farhat,467,226,1232,1,0.21
AL Phehlukwayo,470,290,827,1,0.21
L Goodall,471,290,817,1,0.21
AG Prince,466,286,761,1,0.21
T de Zorzi,472,291,381,1,0.21
TK Curran,481,276,303,1,0.21
MJ Cosgrove,473,332,78,1,0.21
S Molineux,484,338,64,1,0.21
S Nisansala,482,223,20,1,0.21
AG Wharf,483,276,19,1,0.21
N Dickwella,512,237,1604,1,0.2
CK Kapugedera,510,237,1505,1,0.2
LPC Silva,496,231,1279,1,0.2
MJ Prior,503,288,1229,1,0.2
MD Shanaka,498,231,1153,1,0.2
FDM Karunaratne,511,237,1044,1,0.2
CJ Ferguson,494,346,663,1,0.2
BMAJ Mendis,511,237,593,1,0.2
J Mubarak,499,232,531,1,0.2
ME Bouchier,504,289,482,1,0.2
WG Jacks,495,284,468,1,0.2
JE Cameron,497,348,452,1,0.2
AC Agar,512,356,322,1,0.2
SMSM Senanayake,506,236,290,1,0.2
S Randiv,507,236,280,1,0.2
LA Marsh,489,282,264,1,0.2
SM Davies,496,284,244,1,0.2
I Udana,511,237,227,1,0.2
JDF Vandersay,490,227,112,1,0.2
C Kieswetter,517,295,985,1,0.19
TD Paine,521,363,861,1,0.19
VS Solanki,518,295,829,1,0.19
MG Bevan,540,378,755,1,0.19
JM Vince,519,295,590,1,0.19
BJ Hodge,522,363,516,1,0.19
EJ Villani,527,367,468,1,0.19
EL Lamb,513,292,396,1,0.19
MK Tiwary,536,331,287,1,0.19
STR Binny,536,331,230,1,0.19
D Gough,518,295,137,1,0.19
M Kartik,534,330,102,1,0.19
KW Richardson,531,370,75,1,0.19
DM Kimmince,527,367,37,1,0.19
DJ Hussey,545,381,1672,1,0.18
KD Karthik,569,352,1624,1,0.18
MP Stoinis,543,381,1489,1,0.18
M Kaif,570,353,1314,1,0.18
Ishan Kishan,553,341,886,1,0.18
YH Bhatia,568,351,666,1,0.18
P Vastrakar,568,351,579,1,0.18
MK Pandey,559,347,558,1,0.18
MR Meshram,562,348,322,1,0.18
PS Punia,552,340,273,1,0.18
PP Shaw,541,333,189,1,0.18
RR Pant,576,357,871,1,0.17
AR Patel,580,360,568,1,0.17
M Vijay,579,360,339,1,0.17
S Sreesanth,579,360,44,1,0.17
Arshdeep Singh,580,360,37,1,0.17
M Prasidh Krishna,572,355,2,1,0.17
HT Tector,163,59,1622,0,0.0
DJ Mitchell,431,224,1616,0,0.0
Asad Shafiq,460,222,1312,0,0.0
S Matsikenyeri,266,64,1309,0,0.0
Sabbir Rahman,335,132,1259,0,0.0
C Munro,439,228,1249,0,0.0
Raqibul Hasan,337,132,1177,0,0.0
Nahida Khan,456,221,1121,0,0.0
RW Chakabva,274,66,1106,0,0.0
SM Katich,537,376,1041,0,0.0
RP Arnold,509,236,1039,0,0.0
Junaid Siddique,99,34,1021,0,0.0
KU Carty,430,166,1000,0,0.0
Muneeba Ali,463,223,948,0,0.0
Shaiman Anwar,97,33,947,0,0.0
Imad Wasim,462,223,937,0,0.0
RV Uthappa,573,356,934,0,0.0
KOA Powell,427,165,934,0,0.0
Habibul Bashar,343,134,926,0,0.0
Muhammad Usman,95,33,888,0,0.0
TT Bresnan,517,295,871,0,0.0
PD Salt,495,284,866,0,0.0
CN Nation,428,165,831,0,0.0
BM Halliday,428,222,828,0,0.0
SHT Kandamby,510,237,827,0,0.0
W Barresi,90,29,820,0,0.0
JA Rudolph,445,272,820,0,0.0
Sharjeel Khan,462,223,787,0,0.0
SA Yadav,553,341,773,0,0.0
G Malla,65,33,753,0,0.0
H Madavi,489,226,729,0,0.0
Mohammad Mithun,334,131,711,0,0.0
LJ Wright,517,295,707,0,0.0
SO Tikolo,38,13,705,0,0.0
NND de Silva,497,231,703,0,0.0
BM Duckett,487,280,700,0,0.0
Kycia A Knight,423,164,699,0,0.0
PA Patel,567,350,693,0,0.0
RM Ghosh,556,344,690,0,0.0
SW Billings,519,295,690,0,0.0
ZE Green,55,26,686,0,0.0
HASD Siriwardene,497,231,679,0,0.0
Umaima Sohail,463,223,670,0,0.0
GWHM Perera,487,226,668,0,0.0
RH Priest,412,215,661,0,0.0
L Tucker,163,59,657,0,0.0
Shafali Verma,568,351,644,0,0.0
MADD Surangika,497,231,642,0,0.0
PM Weerakkody,497,231,638,0,0.0
PSP Handscomb,542,380,632,0,0.0
KT Perkins,426,222,618,0,0.0
JF Mooney,164,60,610,0,0.0
Khaled Mashud,346,134,605,0,0.0
Kyshona A Knight,428,165,597,0,0.0
J Botha,459,283,594,0,0.0
TLW Cooper,73,22,576,0,0.0
BJ Watling,440,228,573,0,0.0
L Winfield,455,261,564,0,0.0
DD Ebrahim,265,64,555,0,0.0
Abdullah Shafique,445,217,554,0,0.0
L Louwrens,55,26,535,0,0.0
CR Brathwaite,418,162,527,0,0.0
RJ Peterson,463,284,523,0,0.0
JP Inglis,526,366,521,0,0.0
Nain Abidi,456,221,521,0,0.0
K Doriga,63,12,520,0,0.0
CD Wallace,101,54,515,0,0.0
Nizakat Khan,16,5,508,0,0.0
AN Petersen,456,280,498,0,0.0
Shayan Jahangir,64,30,497,0,0.0
Mominul Haque,341,133,495,0,0.0
JWM Dalrymple,508,291,487,0,0.0
AA Obanda,39,13,487,0,0.0
RS Williams,417,162,477,0,0.0
K Verreynne,458,282,476,0,0.0
MA Ouma,37,12,468,0,0.0
Javed Omar,343,134,468,0,0.0
GS Ballance,511,291,454,0,0.0
JL Denly,496,284,446,0,0.0
Ghulam Shabber,93,31,444,0,0.0
A Johnson,51,18,438,0,0.0
H Hiri,63,12,435,0,0.0
MN van Wyk,457,281,425,0,0.0
S Prasanna,507,236,421,0,0.0
SMA Priyanjan,508,236,420,0,0.0
PW Borren,73,22,413,0,0.0
FC Wilson,498,286,412,0,0.0
V Krishnamurthy,561,347,410,0,0.0
RD Shah,38,13,407,0,0.0
Ayesha Zafar,463,223,407,0,0.0
RMVD Gunaratne,489,226,401,0,0.0
Ali Naseer,99,34,396,0,0.0
MAA Sanjeewani,497,231,395,0,0.0
AB Barath,400,155,394,0,0.0
MW Machan,100,53,393,0,0.0
Suraj Kumar,52,27,392,0,0.0
PA de Silva,509,236,390,0,0.0
MA Jones,96,51,385,0,0.0
CS Baugh,422,163,382,0,0.0
J Gumbie,273,66,379,0,0.0
XM Marshall,61,29,379,0,0.0
Asif Ali,446,218,375,0,0.0
PJ Forrest,532,371,368,0,0.0
MS Sinclair,425,222,367,0,0.0
Tanzid Hasan,327,127,364,0,0.0
KM Dabengwa,264,64,364,0,0.0
DG Brownlie,432,225,361,0,0.0
Naseem Khushi,51,27,360,0,0.0
MDN Hansika,497,231,357,0,0.0
AA Alleyne,417,162,341,0,0.0
LMM Tahuhu,433,225,340,0,0.0
NV Knight,457,262,339,0,0.0
B Cooper,365,143,339,0,0.0
Rashid Latif,426,209,335,0,0.0
SS Pathirana,498,231,332,0,0.0
A Flower,233,57,332,0,0.0
I Kaia,273,66,332,0,0.0
HP Tillakaratne,509,236,332,0,0.0
KA Edwards,422,163,331,0,0.0
D Khanal,65,33,329,0,0.0
SS Weerakkody,497,231,328,0,0.0
SA Engelbrecht,89,28,327,0,0.0
CN Ackermann,86,25,326,0,0.0
MH Yardy,491,282,326,0,0.0
SJ Baard,55,26,326,0,0.0
Sidra Nawaz,463,223,325,0,0.0
S Movva,51,18,324,0,0.0
MR Aguilleira,428,165,323,0,0.0
DA Gunawardene,476,221,322,0,0.0
R Mutumbami,276,66,319,0,0.0
JP Kotze,54,25,316,0,0.0
Washington Sundar,519,323,315,0,0.0
LM Jongwe,273,66,315,0,0.0
D la Cock,55,26,313,0,0.0
A Athanaze,412,160,306,0,0.0
ADS Fletcher,404,157,305,0,0.0
Shamima Sultana,333,130,304,0,0.0
DO Obuya,39,13,302,0,0.0
LE Bosman,440,272,301,0,0.0
KE Bryce,97,52,301,0,0.0
AR White,164,60,301,0,0.0
PA Nixon,509,291,297,0,0.0
L Winfield-Hill,500,287,294,0,0.0
DLS van Bunge,75,22,293,0,0.0
MV Waldron,160,56,290,0,0.0
B de Leede,85,25,289,0,0.0
AJ Stewart,457,262,287,0,0.0
AF Giles,518,295,286,0,0.0
A Capsey,513,292,283,0,0.0
PRCS Kumarihami,487,226,283,0,0.0
ASS Fletcher,428,165,282,0,0.0
S Chattergoon,408,157,281,0,0.0
ES Szwarczynski,73,22,281,0,0.0
CS Mugeri-Tiripano,268,64,280,0,0.0
Hannan Sarkar,340,132,280,0,0.0
MD Dai,49,9,277,0,0.0
