player_name,Total_Runs,POM_Awards
Sufiyan Muqeem,0,0
Steven Ryan Taylor,46,0
Skhawat Ali,18,0
Sharjeel Khan,787,0
Sidra Nawaz,325,0
Shuvagata Hom,70,0
Shorna Akter,147,0
Shoriful Islam,91,0
Shayan Jahangir,497,0
Shawaal Zulfiqar,7,0
Shathira Jakir,0,0
Sharmin Sultana,67,0
Simandeep Singh,0,0
A Sharafu,257,0
A Shamshudeen,3,0
A Saud,189,0
A Patel,25,0
A Munisar,4,0
A Minny,106,0
A Mazvishaya,54,0
A Maregwede,108,0
TMK Mawoyo,58,0
A Kolan,155,0
A Johnson,438,0
VR Iyer,24,0
A Flower,332,0
A Chopra,0,0
A Capsey,283,0
V Krishnamurthy,410,0
V Buruka,0,0
A Lister,80,0
WP Saha,41,0
WP Masakadza,204,0
WK McCallan,101,0
WB Rankin,78,0
WA Agar,50,0
W Sutherland,18,0
W O'Rourke,5,0
W Mwayenga,1,0
Waheed Ahmed,73,0
W Barresi,820,0
VV Morea,142,0
VR Vanitha,50,0
XM Marshall,379,0
VCE Wattenberg,0,0
VB van Jaarsveld,9,0
VAB Tewarie,4,0
V Shetty,7,0
W Jaffer,10,0
Tanvir Ahmed,18,0
Tanbir Hayder,5,0
Talha Jubair,4,0
Tabarak Dar,45,0
TW Hartley,12,0
TV Mufambisi,45,0
TT Bresnan,871,0
TSS Mackintosh,169,0
V Araa,71,0
TS Roland-Jones,37,0
TS Nethula,12,0
TS Kamunhukamwe,131,0
TS Hasabnis,140,0
TR Ambrose,10,0
TP Visee,72,0
TN de Grooth,70,0
TMM Newton,38,0
TS Sekhukhune,24,0
Utkarsh Srivastava,75,0
Usman Salahuddin,13,0
Usman Limbada,123,0
Usama Mir,38,0
Umran Malik,2,0
Umar Amin,271,0
Umaima Sohail,670,0
UT Yadav,79,0
Tanzid Hasan,364,0
U Raymond-Hoey,74,0
U Bhatti,120,0
Tushar Imran,250,0
Tilak Varma,68,0
Tharika Sewwandi,1,0
Tayyab Tahir,57,0
Tasqeen Qadeer,48,0
Tareq Aziz,2,0
U Thimashini,2,0
S Lackay,0,0
S Khiaoto,18,0
S Jyoti,19,0
S Jora,56,0
S Jimmy,118,0
S Jafta,144,0
S Immadi,4,0
S Gajnabi,77,0
Sami Aslam,78,0
S Dhamala,12,0
S Dhakal,7,0
S Daniel,12,0
S Chattergoon,281,0
S Bhari,22,0
S Badrinath,79,0
Rony Talukdar,4,0
Raza-ur-Rehman,174,0
S Forbes,175,0
