player_name,Total_Wickets,Total_Overs,Total_Runs,Wickets_Per_Over,Runs_Per_Wicket
W O'Rourke,8,287,258,0.028,32.25
TT Bresnan,120,4300,3879,0.028,32.33
LV van Beek,50,1759,1619,0.028,32.38
RN ten Doeschate,20,711,654,0.028,32.7
L Balaji,28,1005,928,0.028,33.14
SR Thompson,10,357,333,0.028,33.3
T Maruma,6,217,204,0.028,34.0
TK Curran,38,1340,1315,0.028,34.61
AAP Atkinson,11,399,395,0.028,35.91
JDS Neesham,71,2512,2573,0.028,36.24
Khushdil Shah,3,109,122,0.028,40.67
PKD Chase,19,668,776,0.028,40.84
V Krishnamurthy,3,113,58,0.027,19.33
BM Scholtz,70,2619,1479,0.027,21.13
NJ Carey,20,754,511,0.027,25.55
Rumana Ahmed,26,951,669,0.027,25.73
IDR Bradshaw,69,2537,1777,0.027,25.75
AC Botha,16,597,424,0.027,26.5
HK Matthews,83,3025,2210,0.027,26.63
Nashra Sandhu,87,3282,2413,0.027,27.74
KS Lokuarachchi,18,666,503,0.027,27.94
AE Satterthwaite,29,1060,839,0.027,28.93
PT Collins,12,442,354,0.027,29.5
Nizakat Khan,3,110,89,0.027,29.67
WB Rankin,67,2489,1996,0.027,29.79
CN Ackermann,15,553,448,0.027,29.87
RJ Peterson,76,2798,2280,0.027,30.0
EL Lamb,3,110,96,0.027,32.0
SG Whittingham,6,226,192,0.027,32.0
AB Kaur,6,226,197,0.027,32.83
Javeria Khan,8,299,271,0.027,33.88
SPD Smith,29,1081,985,0.027,33.97
KA Pollard,59,2226,2086,0.027,35.36
CR Brathwaite,46,1725,1647,0.027,35.8
EJ Villani,6,222,216,0.027,36.0
CJ Jordan,47,1728,1708,0.027,36.34
Vikramjit Singh,7,257,261,0.027,37.29
SF Mire,11,408,420,0.027,38.18
Tanvir Ahmed,1,37,45,0.027,45.0
D Parashar,5,192,93,0.026,18.6
LA Marsh,53,2048,1414,0.026,26.68
MG Erasmus,34,1286,921,0.026,27.09
TG Norris,7,268,191,0.026,27.29
EA Perry,83,3198,2352,0.026,28.34
DT Johnston,39,1508,1133,0.026,29.05
PJ Ongondo,34,1313,995,0.026,29.26
M Dillon,25,980,737,0.026,29.48
AD Mathews,137,5205,4068,0.026,29.69
AC Kerr,97,3719,2891,0.026,29.8
O Chare,3,116,91,0.026,30.33
ST Jayasuriya,105,4004,3194,0.026,30.42
Sohag Gazi,24,939,736,0.026,30.67
R Ashwin,166,6358,5228,0.026,31.49
DN Wyatt,14,537,447,0.026,31.93
