player_name,Overall_Strike_Rate
JA Burns,77.24867725
EJ Villani,77.22772277
SF Mire,77.22457627
Inzamam-ul-Haq,77.19580983
HK Badani,77.14285714
E Chigumbura,77.11924439
DJM Short,77.00729927
MJ Clarke,76.83342496
Azhar Mahmood,76.82926829
RR Hendricks,76.79603633
L Tucker,76.75233645
E Claridge,76.69902913
Avesh Khan,76.66666667
Tamim Iqbal,76.64094599
FDM Karunaratne,76.59574468
H Deol,76.53478854
BC Lara,76.49694501
AF Buurman,76.47058824
NK Crafton,76.47058824
PL Mommsen,76.46310433
RS Bopara,76.39204545
AT Rayudu,76.38824078
CA Henry,76.38691323
K Fraser,76.38190955
DT Johnston,76.32135307
CR Ervine,76.2875241
AM Rahane,76.23294858
W Barresi,76.20817844
DE Budge,76.20578778
Mohammad Hafeez,76.08721696
TS Hasabnis,76.08695652
A Nao,76.05633803
KU Carty,75.93014427
SW Bates,75.85320243
Rameez Shahzad,75.84973166
AJ Blackwell,75.75516693
MR Swart,75.64102564
AN Cook,75.60169891
NJ Astle,75.60153994
IR Bell,75.58953837
KJ Martin,75.5859375
KS Lokuarachchi,75.57603687
Gulsan Jha,75.57436518
IJL Trott,75.53590568
MD Dai,75.47683924
Mahmudullah,75.45253863
TJ Friend,75.42857143
DR Martyn,75.38720539
K Thomson,75.36231884
Haris Rauf,75.2688172
Kaleem Sana,75.25773196
JE Cameron,75.20798669
PD Collingwood,75.1682736
HK Matthews,75.16149871
AM Tribe,75.16129032
MN Waller,75.12653651
CN Ackermann,75.11520737
R Rampaul,75.11111111
HC Knight,75.10107015
DN Wellalage,75.0
SO Dowrich,75.0
Saqlain Haider,75.0
S Khiaoto,75.0
Zahid Mahmood,75.0
Mohammad Mithun,75.0
EC Perry,75.0
AC Kerr,74.96967246
Suraj Kumar,74.80916031
MB Loye,74.73684211
TT Beaumont,74.6585736
Salman Butt,74.55661664
GC Wilson,74.53115547
AI Chudasama,74.52830189
Younis Khan,74.51255654
Shamsur Rahman,74.50980392
SJ Myburgh,74.46351931
M Kartik,74.45255474
GJ Hopkins,74.44794953
MJ Prior,74.39467312
Mohammad Yousuf,74.39187383
MN Samuels,74.37212593
RD Berrington,74.36729396
O Prendergast,74.36594203
JN Loftie-Eaton,74.25373134
TLW Cooper,74.22680412
A Balbirnie,74.21613394
NR Kirton,74.19354839
CS Mugeri-Tiripano,74.07407407
Anamul Haque,74.06162465
Khalid Kail,74.05063291
BRM Taylor,74.03665753
Aayan Afzal Khan,73.95701643
L Siaka,73.93879566
PJ Hughes,73.88193202
A Bosch,73.8045738
Mominul Haque,73.7704918
KT Perkins,73.74701671
KH Prajapati,73.72316802
JN Frylinck,73.65269461
T Suri,73.58490566
Nasir Jamshed,73.43345417
MDK Perera,73.42995169
SK Patel,73.35092348
AF Giles,73.33333333
J Figy John,73.33333333
WU Tharanga,73.28434144
Muhammad Usman,73.26732673
RK Paudel,73.24640288
Aasif Sheikh,73.23726197
PA Browne,73.22404372
SSJ Brooks,73.2173913
TT Samaraweera,73.19474836
Aftab Ahmed,73.12198484
Azhar Ali,72.88135593
CB Wishart,72.78225806
FRJ Coleman,72.72727273
Mrittunjoy Chowdhury,72.72727273
Saad Bin Zafar,72.57525084
Misbah-ul-Haq,72.56069629
SW Poynter,72.54901961
VVS Laxman,72.50437828
SL Malinga,72.467903
JA McCollum,72.35772358
PA Jaques,72.35294118
RD Gaikwad,72.32704403
RR Sarwan,72.27299242
DG Brownlie,72.2
