player_name,total_matches_played,matches_won,total_runs,Strike_Rate,Win_Percentage
M De Ridder,453,278,45,60.81,61.36865342163355
N Shangase,453,278,38,38.78,61.36865342163355
GF Linde,238,146,27,87.1,61.34453781512605
F Behardien,463,284,1074,96.41,61.33909287257019
RJ Peterson,463,284,523,82.23,61.33909287257019
RK Kleinveldt,463,284,105,81.4,61.33909287257019
LL Tsotsobe,463,284,58,51.33,61.33909287257019
AM Bacher,393,241,102,56.35,61.32315521628499
S Jafta,449,275,144,51.8,61.24721603563474
C Brits,389,238,292,69.36,61.18251928020565
A Minny,389,238,106,81.54,61.18251928020565
SM Benade,389,238,100,78.12,61.18251928020565
M Terblanche,389,238,80,58.39,61.18251928020565
AE Smith,389,238,45,150.0,61.18251928020565
CS Terblanche,389,238,38,58.46,61.18251928020565
SA Fritz,389,238,28,53.85,61.18251928020565
G Kirsten,260,159,186,81.58,61.15384615384615
HH Dippenaar,445,272,1283,67.42,61.12359550561798
JA Rudolph,445,272,820,66.78,61.12359550561798
Zubayr Hamza,288,176,56,68.29,61.111111111111114
J Logtenberg,384,234,6,40.0,60.9375
AB Kaur,398,241,55,50.46,60.552763819095475
A Rawat,396,239,153,81.38,60.35353535353536
J Sharma,396,239,17,51.52,60.35353535353536
K Thomson,352,212,52,75.36,60.22727272727273
SS Tiwary,391,234,49,85.96,59.846547314578004
H Davids,343,205,8,32.0,59.7667638483965
JA Simpson,233,139,20,62.5,59.65665236051502
AL Hodgkinson,322,192,121,71.6,59.62732919254658
Y van der Westhuizen,322,192,23,58.97,59.62732919254658
SR Hain,283,168,106,106.0,59.36395759717315
TW Hartley,283,168,12,133.33,59.36395759717315
SG Borthwick,292,173,18,112.5,59.24657534246575
SC Meaker,292,173,2,11.11,59.24657534246575
MB Loye,399,235,142,74.74,58.89724310776943
J Yadav,343,202,3,42.86,58.89212827988338
Z Crawley,328,193,199,95.67,58.84146341463415
Pratika Rawal,366,215,444,89.52,58.743169398907106
NE Farrant,395,232,41,64.06,58.734177215189874
VR Vanitha,358,210,50,78.12,58.659217877094974
BT Foakes,373,218,61,78.21,58.44504021447721
RS Gavaskar,330,192,93,56.71,58.18181818181818
CMG Atkins,412,239,117,55.45,58.00970873786408
SC Taylor,412,239,77,105.48,58.00970873786408
LA Marsh,489,282,264,56.77,57.668711656441715
D Hazell,489,282,109,77.86,57.668711656441715
BA Langston,489,282,21,95.45,57.668711656441715
AA Deshpande,231,133,32,46.38,57.57575757575758
P Roy,231,133,5,14.71,57.57575757575758
A Chopra,231,133,0,0.0,57.57575757575758
SK Naidu,231,133,0,0.0,57.57575757575758
HJ Armitage,490,282,78,82.11,57.55102040816327
PJ Scholfield,490,282,59,96.72,57.55102040816327
BAM Heath,490,282,59,96.72,57.55102040816327
MK Villiers,490,282,32,100.0,57.55102040816327
R MacDonald-Gay,490,282,17,121.43,57.55102040816327
HL Baker,490,282,3,100.0,57.55102040816327
CJ Jordan,492,283,184,84.4,57.520325203252035
RWT Key,480,276,36,34.29,57.5
BM Duckett,487,280,700,98.18,57.49486652977413
HC Brook,487,280,653,105.49,57.49486652977413
JL Smith,487,280,133,90.48,57.49486652977413
IECM Wong,428,246,15,166.67,57.47663551401869
MJ Lumb,470,270,165,80.1,57.4468085106383
MH Yardy,491,282,326,66.53,57.43380855397149
FC Wilson,498,286,412,93.42,57.429718875502004
L Winfield-Hill,500,287,294,62.03,57.4
HC Knight,507,291,3158,75.1,57.396449704142015
SJ Taylor,507,291,1651,85.46,57.396449704142015
CM Edwards,507,291,1054,71.99,57.396449704142015
LS Greenway,507,291,732,65.83,57.396449704142015
G Chapple,474,272,14,200.0,57.38396624472574
TK Curran,481,276,303,91.27,57.38045738045738
PD Salt,495,284,866,112.47,57.37373737373738
WG Jacks,495,284,468,98.11,57.37373737373738
JG Bethell,495,284,167,78.77,57.37373737373738
DR Mousley,495,284,69,78.41,57.37373737373738
J Overton,495,284,32,145.45,57.37373737373738
JM Cox,495,284,22,38.6,57.37373737373738
JA Turner,495,284,2,40.0,57.37373737373738
L Winfield,455,261,564,70.77,57.362637362637365
FR Davies,476,273,13,30.95,57.35294117647059
CMW Read,497,285,156,70.59,57.34406438631791
JO Troughton,497,285,36,46.75,57.34406438631791
ME Bouchier,504,289,482,103.43,57.34126984126984
NV Knight,457,262,339,70.19,57.330415754923415
AJ Stewart,457,262,287,70.17,57.330415754923415
N Hussain,457,262,127,64.14,57.330415754923415
RC Irani,457,262,67,53.6,57.330415754923415
AR Caddick,457,262,64,54.24,57.330415754923415
P Mustard,501,287,219,89.75,57.28542914171657
JWM Dalrymple,508,291,487,71.94,57.28346456692913
T Banton,426,244,134,92.41,57.27699530516432
MA Carberry,482,276,114,62.98,57.261410788381745
JL Denly,496,284,446,69.15,57.25806451612903
SM Davies,496,284,244,102.09,57.25806451612903
G Onions,496,284,1,50.0,57.25806451612903
MJ Prior,503,288,1229,74.39,57.25646123260437
ID Blackwell,503,288,146,68.54,57.25646123260437
SD Udal,503,288,0,0.0,57.25646123260437
Joginder Sharma,304,174,5,250.0,57.23684210526316
S Sriram,304,174,3,60.0,57.23684210526316
IJL Trott,505,289,2819,75.54,57.227722772277225
OA Shah,502,287,1579,80.44,57.17131474103586
RS Bopara,509,291,2689,76.39,57.17092337917485
A Flintoff,509,291,2096,88.59,57.17092337917485
MP Vaughan,509,291,1382,65.25,57.17092337917485
PA Nixon,509,291,297,84.62,57.17092337917485
SI Mahmood,509,291,84,84.85,57.17092337917485
MS Panesar,509,291,26,28.26,57.17092337917485
AG Wharf,483,276,19,65.52,57.142857142857146
S Dhamala,7,4,12,30.0,57.142857142857146
AD Hales,515,294,2330,93.84,57.0873786407767
EJG Morgan,517,295,6953,89.52,57.05996131528046
AN Cook,517,295,3204,75.6,57.05996131528046
C Kieswetter,517,295,985,87.17,57.05996131528046
TT Bresnan,517,295,871,88.52,57.05996131528046
LJ Wright,517,295,707,84.37,57.05996131528046
TR Ambrose,461,263,10,29.41,57.049891540130155
AAP Atkinson,444,253,63,114.55,56.98198198198198
JM Bairstow,516,294,3671,99.7,56.97674418604651
IR Bell,518,295,5289,75.59,56.94980694980695
KP Pietersen,518,295,4202,84.21,56.94980694980695
PD Collingwood,518,295,4132,75.17,56.94980694980695
AJ Strauss,518,295,3729,78.8,56.94980694980695
ME Trescothick,518,295,1997,80.52,56.94980694980695
VS Solanki,518,295,829,69.43,56.94980694980695
GO Jones,518,295,715,80.97,56.94980694980695
AF Giles,518,295,286,73.33,56.94980694980695
D Gough,518,295,137,69.19,56.94980694980695
Kabir Ali,518,295,54,93.1,56.94980694980695
JWA Taylor,511,291,879,79.55,56.94716242661448
GS Ballance,511,291,454,70.17,56.94716242661448
TT Beaumont,513,292,3936,74.66,56.92007797270955
AE Jones,513,292,2071,83.51,56.92007797270955
DN Wyatt,513,292,1680,90.76,56.92007797270955
