player_name,High_Batting_Strike_Rate,Player_Average
Wasim Ali,45.61403509,26.0
C de Lange,45.57522124,8.58
Syed Rasel,45.23809524,1.43
H Karunaratne,45.23809524,95.0
SZ Thakor,45.09803922,4.6
RN Bhatia,44.73684211,17.0
T Kamungozi,44.64285714,2.08
A Mazvishaya,44.62809917,4.5
CA Reid,44.44444444,8.0
S Immadi,44.44444444,1.0
RP Singh,44.40789474,1.69
Nestor Dhamba,44.23076923,2.09
Marina Iqbal,43.91025641,137.0
J Patraj,43.75,10.5
Saqlain Mushtaq,43.58974359,4.25
Kainat Imtiaz,43.56060606,16.43
HR Johnson,42.85714286,9.0
TJG Pringle,42.85714286,3.0
J Yadav,42.85714286,3.0
WB Rankin,42.62295082,1.16
S Bhari,42.30769231,1.47
N Boochatham,41.83006536,6.4
T Mupariwa,41.82692308,2.23
A Codrington,41.7721519,5.5
RK Whelan,41.66666667,2.5
S Gajnabi,41.62162162,15.4
O Bell,41.55844156,10.67
IJR Zwilling,41.31054131,5.0
I Toua,41.0,3.73
BJ Currie,40.90909091,0.5
A Mohammed,40.84507042,4.0
BMSM Kumari,40.74074074,5.5
D Joseph,40.625,2.6
PP Ojha,40.35087719,2.19
J Logtenberg,40.0,2.0
JA Turner,40.0,1.0
N Niranjana,40.0,1.6
V Araa,39.66480447,6.45
S Tippoch,39.38053097,9.89
E Mbofana,39.28571429,4.4
CJ Metcalfe,38.88888889,4.2
M Klaas,38.86792453,1.34
Qaiser Ali,38.7755102,38.0
N Shangase,38.7755102,6.33
L Tshuma,38.65030675,6.3
I Ranaweera,38.24786325,2.89
MG Neser,37.93103448,3.67
I van der Woning,37.14285714,6.5
PRCS Kumarihami,37.04188482,94.33
NB Mahwire,37.03703704,5.0
G Sultana,36.96969697,5.08
E Otieno,36.84210526,1.4
Ehsanul Haque,36.84210526,14.0
Z James,36.7768595,6.85
KDU Prabodhani,35.69405099,4.67
S Sreesanth,35.2,0.54
AS van Beuge,34.69387755,8.5
A Martin,34.48275862,0.77
Mosharraf Hossain,34.375,22.0
HRA Rainey,34.28571429,1.33
MMA Jonkman,34.21052632,13.0
NA de Groot,33.84615385,14.67
Sania Khan,33.33333333,2.0
PM Liyanagamage,33.33333333,5.6
KC Hodsoll,33.33333333,2.0
SG Whittingham,33.33333333,0.83
G Fontenla,33.33333333,0.33
GH O'Brien,33.33333333,0.67
LE Milliken,33.33333333,1.0
W O'Rourke,33.33333333,0.62
AH Maqsood,33.33333333,0.6
SI Kamea,32.72727273,0.64
TJ Heggelman,32.3943662,11.5
B Shikongo,31.48148148,0.68
T Muzarabani,31.25,1.25
FR Davies,30.95238095,1.18
RW Staple,30.76923077,2.0
Hasibul Hossain,30.43478261,7.0
EC Rainsford,30.09708738,1.82
D Soraine,30.0,3.0
B Siddharth,30.0,1.5
PT Collins,30.0,0.25
SK Dolawatte,28.57142857,5.33
Z Mali,28.57142857,0.5
H Durham,28.57142857,2.0
BB Seebaran,28.57142857,4.0
MS Panesar,28.26086957,0.87
TS Sekhukhune,28.23529412,0.89
O Thomas,28.20512821,0.73
Nashra Sandhu,27.55417957,1.02
D Gamage,27.27272727,3.0
R Ntozakhe,26.66666667,0.38
KE Broadmore,26.47058824,9.0
Khaled Ahmed,25.0,0.33
T Putthawong,24.8,1.72
FC Jonas,24.56140351,0.78
LN Rajbanshi,23.71794872,0.88
MM Penfold,23.07692308,1.2
BR Dorey,22.22222222,1.0
MA Aponso,22.22222222,1.0
Z Groenewald,21.05263158,0.67
AK Peters,20.68965517,6.0
KHRK Fernando,20.0,3.0
JM Willathgamuwa,20.0,0.67
C Abel,19.14893617,1.8
AJ Ireland,18.75,0.75
Tareq Aziz,18.18181818,1.0
Akhil Kumar,18.18181818,0.5
Umran Malik,18.18181818,0.15
K Sonavale,17.24137931,2.5
O Chare,16.66666667,1.0
PA Desai,16.66666667,0.33
Ebadat Hossain,16.66666667,0.14
S Dhakal,15.90909091,1.75
RA Lewis,15.38461538,2.0
PLS Gamage,14.81481481,0.4
P Roy,14.70588235,5.0
LC Romero,14.28571429,1.0
EJB Miles,14.28571429,0.25
M Prasidh Krishna,11.11111111,0.07
SC Meaker,11.11111111,1.0
K Mahato,10.0,0.5
W Mwayenga,9.090909091,1.0
AD Janakanthymala,6.666666667,0.5
V Buruka,0.0,0.0
JS Ababu,0.0,0.0
C Sakariya,0.0,0.0
Raza Hasan,0.0,0.0
Shahbaz Ahmed,0.0,0.0
Sufiyan Muqeem,0.0,0.0
SD Udal,0.0,0.0
Fariha Trisna,0.0,0.0
F Hand,0.0,0.0
OC McCoy,0.0,0.0
K Phillip,0.0,0.0
