player_name,Total_Runs,Strike_Rate,Total_Wickets_Taken,POTM
A Sharma,323,69.02,4,1
MR Aguilleira,323,54.01,0,0
AC Agar,322,80.5,22,1
MR Meshram,322,56.39,0,1
DA Gunawardene,322,54.48,0,0
AK Sah,320,87.67,0,1
R Mutumbami,319,71.36,0,0
JP Kotze,316,70.38,0,0
Washington Sundar,315,81.61,23,0
LM Jongwe,315,79.15,28,0
D la Cock,313,65.89,0,0
KAJ Roach,308,50.49,132,3
A Athanaze,306,80.95,1,0
ADS Fletcher,305,60.64,0,0
Shamima Sultana,304,56.3,0,0
TK Curran,303,91.27,38,1
DO Obuya,302,51.8,0,0
LE Bosman,301,94.65,0,0
KE Bryce,301,84.08,6,0
AR White,301,60.44,10,0
PA Nixon,297,84.62,0,0
NS Dhaliwal,295,56.41,0,1
L Winfield-Hill,294,62.03,0,0
DLS van Bunge,293,56.45,6,0
C Brits,292,69.36,0,2
SMSM Senanayake,290,90.34,60,1
MV Waldron,290,45.38,0,0
B de Leede,289,66.44,0,0
AJ Stewart,287,70.17,0,0
MK Tiwary,287,69.66,5,1
AF Giles,286,73.33,38,0
DN Wellalage,285,75.0,27,2
Saud Shakeel,283,86.28,1,1
A Capsey,283,71.65,8,0
PRCS Kumarihami,283,37.04,3,0
Kashif Daud,282,88.68,17,2
ASS Fletcher,282,64.98,61,0
S Dhaniram,281,88.92,23,2
S Chattergoon,281,63.72,0,0
ES Szwarczynski,281,58.3,0,0
CS Mugeri-Tiripano,280,74.07,0,0
S Randiv,280,71.79,38,1
Hannan Sarkar,280,52.14,0,0
SK Patel,278,73.35,0,1
MD Dai,277,75.48,13,0
S Horley,276,77.53,9,3
Moin Khan,274,86.16,0,0
DT Christian,273,87.22,21,0
PS Punia,273,54.27,0,1
S Ismail,273,49.55,142,7
GH Worker,272,69.92,0,0
Umar Amin,271,66.42,0,0
MJ Henry,268,91.16,155,6
G Toka,268,54.03,3,0
TA Blundell,266,86.08,0,0
Shamsur Rahman,266,74.51,0,1
B Bezuidenhout,266,71.89,0,0
AJ Hosein,266,70.93,60,0
AC Botha,265,63.25,16,0
B Bhandari,265,59.82,0,0
AR Cusack,264,62.56,34,1
LA Marsh,264,56.77,53,1
Diana Baig,262,68.95,43,0
M Musonda,262,64.69,0,1
Sadaf Shamas,262,52.82,0,0
Taufeeq Umar,262,51.98,0,1
R Chopra,260,68.97,0,1
UDU Chandana,260,66.16,38,2
IDR Bradshaw,259,61.23,69,2
A Sharafu,257,66.75,0,0
GE Plimmer,256,62.44,0,0
R Gunasekera,255,55.08,0,1
P Khadka,252,79.5,4,1
C Madande,251,71.1,0,0
BM Scholtz,251,66.05,70,2
Tushar Imran,250,52.41,2,0
KO Otieno,250,42.02,0,0
Amjad Ali,249,64.34,0,0
JD Campbell,248,113.76,0,1
R Stokell,247,58.67,0,0
SM Davies,244,102.09,0,1
N Chaiwai,244,61.31,0,2
ML Udawatte,243,66.21,0,0
R Rijke,238,70.21,6,1
DC Thomas,238,62.8,2,0
Musa Ahmed,238,62.8,0,0
HN Ya France,237,80.89,14,1
DE Budge,237,76.21,1,0
C Tear,237,66.95,0,0
D Dhingra,237,65.47,0,0
GJ Hopkins,236,74.45,0,0
Abid Ali,234,91.05,0,1
JP Bray,234,63.07,0,1
AM Tribe,233,75.16,0,0
NFI McCallum,233,63.66,0,0
K Birkenstock,233,53.2,5,0
JM Kerr,232,105.94,55,0
T Ruma,232,63.04,2,0
HMD Rasangika,232,58.0,0,1
A Mohammed,232,40.85,58,2
NY McLean,231,63.81,0,0
STR Binny,230,91.27,21,1
TM Dowlin,228,62.98,0,0
CNIM Joyce,228,46.25,0,0
I Udana,227,96.19,22,1
Jahurul Islam,226,69.54,0,0
AM Samad,226,59.16,2,0
Asmavia Iqbal,225,52.33,27,0
S Mostary,224,57.29,0,0
F Overdijk,224,47.56,11,0
T Duffin,224,45.53,0,0
BR McDermott,223,79.64,0,0
IS Billcliff,223,57.33,0,0
P Mustard,219,89.75,0,0
DR Chumney,219,65.18,0,0
T Stubbs,218,93.97,0,1
Saeed Anwar,218,68.55,1,0
GJ Delany,217,95.18,6,0
Saad Bin Zafar,217,72.58,25,0
Iram Javed,216,56.84,1,0
JM Fields,215,64.56,0,0
T Marumani,214,63.31,0,0
DJM Short,211,77.01,0,0
TK Musakanda,210,87.5,0,0
NRJ Croes,207,67.87,0,0
Khurram Manzoor,206,63.78,0,0
HS Modi,205,44.86,0,0
WP Masakadza,204,59.13,22,0
Khushdil Shah,200,93.46,3,1
DEM Carter,200,71.17,8,0
S Sriharsha,200,67.8,0,0
Z Crawley,199,95.67,0,0
Saleem Elahi,199,64.82,0,0
IA Karim,196,82.7,0,1
M Levitt,196,79.35,1,0
MW Short,195,98.98,1,0
Kuldeep Yadav,195,47.45,173,5
V Sukumaran,194,61.78,3,1
Mohammad Nawaz (3),193,87.33,17,0
PJ Ingram,193,80.75,0,0
JH Davey,193,61.86,26,1
