player_name,Total_Wickets_Taken,Total_Overs_Bowled,Wickets_Per_Over
MW Machan,4,226,0.017699115044247787
H Masakadza,22,1249,0.017614091273018415
N Mlaba,24,1365,0.017582417582417582
BMSM Kumari,18,1024,0.017578125
TJ Friend,1,57,0.017543859649122806
DO Leicher,1,57,0.017543859649122806
K Phillip,3,171,0.017543859649122806
PR Stirling,26,1485,0.017508417508417508
Ehsan Adil,4,229,0.017467248908296942
S Dhakal,4,229,0.017467248908296942
AJ Finch,5,287,0.017421602787456445
JWM Dalrymple,15,868,0.01728110599078341
MP Vaughan,9,522,0.017241379310344827
Ahmed Shehzad,2,116,0.017241379310344827
SC Meaker,2,117,0.017094017094017096
GJ Delany,6,351,0.017094017094017096
S Prasanna,33,1936,0.017045454545454544
TMM Newton,6,354,0.01694915254237288
F Behardien,12,716,0.01675977653631285
FC Jonas,18,1077,0.016713091922005572
Bilawal Bhatti,7,420,0.016666666666666666
D Ravu,10,608,0.01644736842105263
CP Rizwan,1,61,0.01639344262295082
A Ashok,1,61,0.01639344262295082
IJL Trott,3,185,0.016216216216216217
LJ Wright,17,1050,0.01619047619047619
RT Lyons,1,62,0.016129032258064516
ML Nkala,5,311,0.01607717041800643
MEK Hussey,4,249,0.01606425702811245
C Munro,9,563,0.015985790408525755
EC Rainsford,17,1070,0.01588785046728972
A van der Merwe,2,126,0.015873015873015872
Mosaddek Hossain,16,1016,0.015748031496062992
IH Romaine,1,64,0.015625
Kainat Imtiaz,7,451,0.015521064301552107
MN Waller,9,580,0.015517241379310345
MH Yardy,20,1289,0.015515903801396431
BRM Taylor,4,262,0.015267175572519083
Azhar Ali,4,264,0.015151515151515152
BJ Hodge,1,66,0.015151515151515152
HR Johnson,1,67,0.014925373134328358
NE Bonner,1,67,0.014925373134328358
L Siaka,3,202,0.01485148514851485
Azhar Mahmood,6,407,0.014742014742014743
S Immadi,4,272,0.014705882352941176
KHRK Fernando,1,68,0.014705882352941176
Joginder Sharma,1,68,0.014705882352941176
MT Chinouya,1,68,0.014705882352941176
A Sharma,4,273,0.014652014652014652
Aliya Riaz,13,894,0.0145413870246085
V Sibanda,4,276,0.014492753623188406
R MacDonald-Gay,1,69,0.014492753623188406
BA Langston,2,138,0.014492753623188406
P Khadka,4,279,0.014336917562724014
IM Vaghela,4,280,0.014285714285714285
D Gamage,1,70,0.014285714285714285
HDPK Dharmasena,6,425,0.01411764705882353
